path,label,label_index,artist,split,sha256,phash
data/private/portraitnet/general_paintings/aki-kuroda_cosmogarden-2011.jpg,general_painting,0,aki-kuroda,train,fd2e78b46893827051ba2e5afd1c35aff4ec81258c11db9f21d475327913c04b,9cc967722763134d
data/private/portraitnet/general_paintings/aki-kuroda_flower-bench-2007.jpg,general_painting,0,aki-kuroda,train,bd3aea5aaa6ede264bb895690160dd255a9830ae6bbbbea3e37d6c2058840d41,add2136ce537c02d
data/private/portraitnet/general_paintings/aki-kuroda_night-2011.jpg,general_painting,0,aki-kuroda,train,6f1ddf4e48cfe74e3c05c19c9faafb8787953845cac7dfb408d0d72924b53190,ac89d326dbc92cc9
data/private/portraitnet/general_paintings/aki-kuroda_untitled-1995.jpg,general_painting,0,aki-kuroda,train,0640d750f9131022c0cee30f44f726f77b0cbeba4581fb96418f216b9e78f250,98166769ce4d92dc
data/private/portraitnet/general_paintings/aki-kuroda_untitled-2008.jpg,general_painting,0,aki-kuroda,train,a74a922316b4ba9569a8fa421e0050c6b7d763407e616f3b2ff4b625a16497a8,b096cd68d3e97192
data/private/portraitnet/general_paintings/aki-kuroda_untitled-2012-1.jpg,general_painting,0,aki-kuroda,train,fb2a38686b59b037299ece422f6ab32d2c99f498499f5b446f7d90f951757232,b5ed9e27800c65ea
data/private/portraitnet/general_paintings/aki-kuroda_untitled-2012.jpg,general_painting,0,aki-kuroda,train,20bf5033e99844f3f2ebfe827216a7fa28a70e78449ae1ec2972dc72757adfbb,95f24a95427a857e
data/private/portraitnet/general_paintings/albert-gleizes_untitled-2.jpg,general_painting,0,albert-gleizes,train,83dc48d7cc783e1a6bb171c40293b37be734e0653f552a5f0bea435fe1d1ceaf,de064d7b3870c19e
data/private/portraitnet/general_paintings/albert-gleizes_untitled-3.jpg,general_painting,0,albert-gleizes,train,b33acd2d919ca64f8d48c202241a56bef6f9b1b0e437a26163d52e52f8b800a4,cfb63198ce649893
data/private/portraitnet/general_paintings/albert-gleizes_untitled-4.jpg,general_painting,0,albert-gleizes,train,863914d56c7323ccf5822cbd43578441a527366144a750a736e3d7f5025b58a7,8c92966571ded13a
data/private/portraitnet/general_paintings/albert-gleizes_untitled-5.jpg,general_painting,0,albert-gleizes,train,8d261a9d7908267f5108a1e06511bbdf6ed53124095317713aaacf889e6933b4,92b435f179cbc894
data/private/portraitnet/general_paintings/albert-gleizes_untitled-6.jpg,general_painting,0,albert-gleizes,train,1b80ca7c118e19ed25ac02c4e4cf838b83ef94e8e9f5af8cbfa922cfd7dfcae6,ea39cf12109f3363
data/private/portraitnet/general_paintings/albert-gleizes_untitled-7.jpg,general_painting,0,albert-gleizes,train,c0ee4b93abe810e164dc7d7b2fdb0dcdde24bb16b646a619b198f691f019ca23,b89970320f5f13e3
data/private/portraitnet/general_paintings/alberto-magnelli_farmers-at-table-1922.jpg,general_painting,0,alberto-magnelli,test,0bc12a910135f6b039b2bc7348d4c74d26f3059eb9f28e1297c59658d7ad2edb,a6f80f1e0cc351eb
data/private/portraitnet/general_paintings/alberto-magnelli_femme-la-blouse-jaune-1916.jpg,general_painting,0,alberto-magnelli,test,c733bc4c0ff3e7795c9633a05ce680a30c517ff4ce2f656f4b3dca5aadba6478,86f01f6653d35236
data/private/portraitnet/general_paintings/alberto-magnelli_incantation-1935.jpg,general_painting,0,alberto-magnelli,test,697149b862b46a789fa5734944efdceea25024ac9a30e4c99d57a52bebb7b1aa,d24aff4c3ce54838
data/private/portraitnet/general_paintings/alberto-magnelli_la-toilette-1917.jpg,general_painting,0,alberto-magnelli,test,a7f43a1cf534dd5230b7e062bf18d03ae20bbd501d36af8a32770438955b2cd4,c99f73d0127e07e0
data/private/portraitnet/general_paintings/alberto-magnelli_man-smoking-1914.jpg,general_painting,0,alberto-magnelli,test,3954922e93c47494298559670ac79e56d7b040efdc31b497dc5a73431643b32a,81e83f4ec8789b36
data/private/portraitnet/general_paintings/aldemir-martins_vase-of-flowers-1949.jpg,general_painting,0,aldemir-martins,test,44c43989af07ad6252d8b1aae56d9f6ce550d2d948f4205b1659bae7646c0d68,8eba92ccc5d4e6c1
data/private/portraitnet/general_paintings/alekos-kontopoulos_cupid.jpg,general_painting,0,alekos-kontopoulos,test,94292a030c8aa3abc0a2a1e6dde9a1ad0559648a268537332a51eef82fbbb356,e336537998c1ce86
data/private/portraitnet/general_paintings/alekos-kontopoulos_enangalismos.jpg,general_painting,0,alekos-kontopoulos,test,9a5eabd9a20cf226535987450eb35c57a51d3980d3f8dcb5bd67b94a8fcf4fd6,9d646a63c1396bc6
data/private/portraitnet/general_paintings/alekos-kontopoulos_he-wasn-t-18-1974.jpg,general_painting,0,alekos-kontopoulos,test,a2f4e9e10bc0a3d2f9096df8d16b7f04487336b566819caf2a7a681a274b66f9,febc705783581b21
data/private/portraitnet/general_paintings/alekos-kontopoulos_still-life-1956.jpg,general_painting,0,alekos-kontopoulos,test,32b70496a2db50f73ed6aa05b8ce27b28235e78137cbda7a0f591d28d4cb1220,d9c8611b6e693725
